seed: 420

alpha=0, beta=1, teacher-epochs = 2, student-epochs = 1

Meta Epoch: 0.000	 AUC Tchr. Trn.: 0.861	 AUC Tchr. Tst.: 0.864	 AUC Stdnt. Trn.: 0.798	 AUC Stdnt. Tst.: 0.800
Meta Epoch: 1.000	 AUC Tchr. Trn.: 0.863	 AUC Tchr. Tst.: 0.866	 AUC Stdnt. Trn.: 0.490	 AUC Stdnt. Tst.: 0.510
Meta Epoch: 2.000	 AUC Tchr. Trn.: 0.864	 AUC Tchr. Tst.: 0.866	 AUC Stdnt. Trn.: 0.491	 AUC Stdnt. Tst.: 0.511
Meta Epoch: 3.000	 AUC Tchr. Trn.: 0.864	 AUC Tchr. Tst.: 0.866	 AUC Stdnt. Trn.: 0.503	 AUC Stdnt. Tst.: 0.522
Meta Epoch: 4.000	 AUC Tchr. Trn.: 0.864	 AUC Tchr. Tst.: 0.866	 AUC Stdnt. Trn.: 0.541	 AUC Stdnt. Tst.: 0.559
Meta Epoch: 5.000	 AUC Tchr. Trn.: 0.864	 AUC Tchr. Tst.: 0.866	 AUC Stdnt. Trn.: 0.633	 AUC Stdnt. Tst.: 0.648
Meta Epoch: 6.000	 AUC Tchr. Trn.: 0.864	 AUC Tchr. Tst.: 0.866	 AUC Stdnt. Trn.: 0.752	 AUC Stdnt. Tst.: 0.757
Meta Epoch: 7.000	 AUC Tchr. Trn.: 0.864	 AUC Tchr. Tst.: 0.866	 AUC Stdnt. Trn.: 0.813	 AUC Stdnt. Tst.: 0.812
Meta Epoch: 8.000	 AUC Tchr. Trn.: 0.864	 AUC Tchr. Tst.: 0.866	 AUC Stdnt. Trn.: 0.500	 AUC Stdnt. Tst.: 0.500
Meta Epoch: 9.000	 AUC Tchr. Trn.: 0.864	 AUC Tchr. Tst.: 0.866	 AUC Stdnt. Trn.: 0.500	 AUC Stdnt. Tst.: 0.500



alpha=0.5, beta=0.5, teacher-epochs = 2, student-epochs = 1

